,County,State,Population,State and County
0,Autauga,AL,"59,203",AL Autauga
1,Baldwin,AL,"239,439",AL Baldwin
2,Barbour,AL,"24,533",AL Barbour
3,Bibb,AL,"22,359",AL Bibb
4,Blount,AL,"59,079",AL Blount
5,Bullock,AL,"10,143",AL Bullock
6,Butler,AL,"18,890",AL Butler
7,Calhoun,AL,"115,678",AL Calhoun
8,Chambers,AL,"34,488",AL Chambers
9,Cherokee,AL,"25,074",AL Cherokee
10,Chilton,AL,"45,259",AL Chilton
11,Choctaw,AL,"12,548",AL Choctaw
12,Clarke,AL,"22,740",AL Clarke
13,Clay,AL,"14,170",AL Clay
14,Cleburne,AL,"15,156",AL Cleburne
15,Coffee,AL,"54,199",AL Coffee
16,Colbert,AL,"57,644",AL Colbert
17,Conecuh,AL,"11,320",AL Conecuh
18,Coosa,AL,"10,314",AL Coosa
19,Covington,AL,"37,570",AL Covington
20,Crenshaw,AL,"13,069",AL Crenshaw
21,Cullman,AL,"89,639",AL Cullman
22,Dale,AL,"49,395",AL Dale
23,Dallas,AL,"37,515",AL Dallas
24,DeKalb,AL,"71,912",AL DeKalb
25,Elmore,AL,"88,789",AL Elmore
26,Escambia,AL,"36,660",AL Escambia
27,Etowah,AL,"103,010",AL Etowah
28,Fayette,AL,"16,127",AL Fayette
29,Franklin,AL,"31,998",AL Franklin
30,Geneva,AL,"26,620",AL Geneva
31,Greene,AL,"7,614",AL Greene
32,Hale,AL,"14,726",AL Hale
33,Henry,AL,"17,433",AL Henry
34,Houston,AL,"107,470",AL Houston
35,Jackson,AL,"52,719",AL Jackson
36,Jefferson,AL,"669,990",AL Jefferson
37,Lamar,AL,"13,736",AL Lamar
38,Lauderdale,AL,"94,853",AL Lauderdale
39,Lawrence,AL,"33,073",AL Lawrence
40,Lee,AL,"177,596",AL Lee
41,Limestone,AL,"107,303",AL Limestone
42,Lowndes,AL,"9,945",AL Lowndes
43,Macon,AL,"18,905",AL Macon
44,Madison,AL,"396,671",AL Madison
45,Marengo,AL,"18,985",AL Marengo
46,Marion,AL,"29,001",AL Marion
47,Marshall,AL,"98,286",AL Marshall
48,Mobile,AL,"413,383",AL Mobile
49,Monroe,AL,"19,550",AL Monroe
50,Montgomery,AL,"226,935",AL Montgomery
51,Morgan,AL,"123,375",AL Morgan
52,Perry,AL,"8,328",AL Perry
53,Pickens,AL,"18,618",AL Pickens
54,Pike,AL,"32,746",AL Pike
55,Randolph,AL,"22,184",AL Randolph
56,Russell,AL,"58,681",AL Russell
57,St Clair,AL,"92,874",AL St Clair
58,Shelby,AL,"227,453",AL Shelby
59,Sumter,AL,"11,967",AL Sumter
60,Talladega,AL,"80,734",AL Talladega
61,Tallapoosa,AL,"41,099",AL Tallapoosa
62,Tuscaloosa,AL,"235,670",AL Tuscaloosa
63,Walker,AL,"64,636",AL Walker
64,Washington,AL,"15,223",AL Washington
65,Wilcox,AL,"10,423",AL Wilcox
66,Winston,AL,"23,655",AL Winston
67,Aleutians East,AK,"3,417",AK Aleutians East
68,Aleutians West,AK,"5,147",AK Aleutians West
69,Anchorage,AK,"289,169",AK Anchorage
70,Bethel,AK,"18,594",AK Bethel
71,Bristol Bay,AK,842,AK Bristol Bay
72,Valdez-Cordova,AK,"9,592",AK Valdez-Cordova
73,Denali,AK,"1,595",AK Denali
74,Dillingham,AK,"4,796",AK Dillingham
75,Fairbanks North Star,AK,"95,593",AK Fairbanks North Star
76,Haines,AK,"2,074",AK Haines
77,Hoonah-Angoon,AK,"2,330",AK Hoonah-Angoon
78,Juneau,AK,"31,979",AK Juneau
79,Kenai Peninsula,AK,"59,946",AK Kenai Peninsula
80,Ketchikan Gateway,AK,"13,866",AK Ketchikan Gateway
81,Kodiak Island,AK,"12,878",AK Kodiak Island
82,Kusilvak,AK,"8,377",AK Kusilvak
83,Lake and Peninsula,AK,"1,419",AK Lake and Peninsula
84,Matanuska-Susitna,AK,"110,998",AK Matanuska-Susitna
85,Nome,AK,"9,894",AK Nome
86,North Slope,AK,"11,054",AK North Slope
87,Northwest Arctic,AK,"7,635",AK Northwest Arctic
88,Petersburg,AK,"3,381",AK Petersburg
89,Prince of Wales-Hyder,AK,"5,720",AK Prince of Wales-Hyder
90,Sitka,AK,"8,383",AK Sitka
91,Skagway Municipality,AK,"1,147",AK Skagway Municipality
92,Southeast Fairbanks,AK,"7,007",AK Southeast Fairbanks
93,Wrangell City and Borough,AK,"2,102",AK Wrangell City and Borough
94,Yakutat,AK,710,AK Yakutat
95,Yukon-Koyukuk,AK,"5,278",AK Yukon-Koyukuk
96,Apache,AZ,"65,389",AZ Apache
97,Cochise,AZ,"126,119",AZ Cochise
98,Coconino,AZ,"142,897",AZ Coconino
99,Gila,AZ,"53,549",AZ Gila
100,Graham,AZ,"38,921",AZ Graham
101,Greenlee,AZ,"9,400",AZ Greenlee
102,La Paz,AZ,"16,385",AZ La Paz
103,Maricopa,AZ,"4,499,438",AZ Maricopa
104,Mohave,AZ,"217,164",AZ Mohave
105,Navajo,AZ,"107,726",AZ Navajo
106,Pima,AZ,"1,048,914",AZ Pima
107,Pinal,AZ,"448,993",AZ Pinal
108,Santa Cruz,AZ,"47,956",AZ Santa Cruz
109,Yavapai,AZ,"242,352",AZ Yavapai
110,Yuma,AZ,"207,284",AZ Yuma
111,Arkansas,AR,"16,687",AR Arkansas
112,Ashley,AR,"18,654",AR Ashley
113,Baxter,AR,"42,224",AR Baxter
114,Benton,AR,"294,297",AR Benton
115,Boone,AR,"37,894",AR Boone
116,Bradley,AR,"10,343",AR Bradley
117,Calhoun,AR,"4,728",AR Calhoun
118,Carroll,AR,"28,539",AR Carroll
119,Chicot,AR,"10,052",AR Chicot
120,Clark,AR,"21,244",AR Clark
121,Clay,AR,"14,362",AR Clay
122,Cleburne,AR,"25,028",AR Cleburne
123,Cleveland,AR,"7,486",AR Cleveland
124,Columbia,AR,"22,490",AR Columbia
125,Conway,AR,"20,902",AR Conway
126,Craighead,AR,"111,794",AR Craighead
127,Crawford,AR,"60,430",AR Crawford
128,Crittenden,AR,"47,438",AR Crittenden
129,Cross,AR,"16,672",AR Cross
130,Dallas,AR,"6,309",AR Dallas
131,Desha,AR,"11,048",AR Desha
132,Drew,AR,"17,057",AR Drew
133,Faulkner,AR,"125,608",AR Faulkner
134,Franklin,AR,"17,166",AR Franklin
135,Fulton,AR,"12,147",AR Fulton
136,Garland,AR,"100,393",AR Garland
137,Grant,AR,"18,123",AR Grant
138,Greene,AR,"46,341",AR Greene
139,Hempstead,AR,"19,667",AR Hempstead
140,Hot Spring,AR,"33,079",AR Hot Spring
141,Howard,AR,"12,695",AR Howard
142,Independence,AR,"38,100",AR Independence
143,Izard,AR,"13,921",AR Izard
144,Jackson,AR,"16,781",AR Jackson
145,Jefferson,AR,"65,637",AR Jefferson
146,Johnson,AR,"25,957",AR Johnson
147,Lafayette,AR,"6,159",AR Lafayette
148,Lawrence,AR,"16,329",AR Lawrence
149,Lee,AR,"8,560",AR Lee
150,Lincoln,AR,"13,168",AR Lincoln
151,Little River,AR,"11,973",AR Little River
152,Logan,AR,"21,229",AR Logan
153,Lonoke,AR,"74,770",AR Lonoke
154,Madison,AR,"16,944",AR Madison
155,Marion,AR,"16,984",AR Marion
156,Miller,AR,"42,494",AR Miller
157,Mississippi,AR,"39,534",AR Mississippi
158,Monroe,AR,"6,648",AR Monroe
159,Montgomery,AR,"8,635",AR Montgomery
160,Nevada,AR,"8,184",AR Nevada
161,Newton,AR,"7,167",AR Newton
162,Ouachita,AR,"22,312",AR Ouachita
163,Perry,AR,"9,995",AR Perry
164,Phillips,AR,"15,825",AR Phillips
165,Pike,AR,"10,114",AR Pike
166,Poinsett,AR,"22,691",AR Poinsett
167,Polk,AR,"19,333",AR Polk
168,Pope,AR,"63,778",AR Pope
169,Prairie,AR,"8,095",AR Prairie
170,Pulaski,AR,"398,108",AR Pulaski
171,Randolph,AR,"18,839",AR Randolph
172,St Francis,AR,"22,715",AR St Francis
173,Saline,AR,"125,382",AR Saline
174,Scott,AR,"9,795",AR Scott
175,Searcy,AR,"7,893",AR Searcy
176,Sebastian,AR,"128,342",AR Sebastian
177,Sevier,AR,"15,714",AR Sevier
178,Sharp,AR,"17,691",AR Sharp
179,Stone,AR,"12,441",AR Stone
180,Union,AR,"38,375",AR Union
181,Van Buren,AR,"15,777",AR Van Buren
182,Washington,AR,"251,767",AR Washington
183,White,AR,"77,109",AR White
184,Woodruff,AR,"6,146",AR Woodruff
185,Yell,AR,"20,135",AR Yell
186,Alameda,CA,"1,644,047",CA Alameda
187,Alpine,CA,"1,229",CA Alpine
188,Amador,CA,"41,228",CA Amador
189,Butte,CA,"206,336",CA Butte
190,Calaveras,CA,"46,249",CA Calaveras
191,Colusa,CA,"21,919",CA Colusa
192,Contra Costa,CA,"1,163,941",CA Contra Costa
193,Del Norte,CA,"27,584",CA Del Norte
194,El Dorado,CA,"193,704",CA El Dorado
195,Fresno,CA,"1,013,103",CA Fresno
196,Glenn,CA,"28,718",CA Glenn
197,Humboldt,CA,"134,897",CA Humboldt
198,Imperial,CA,"179,138",CA Imperial
199,Inyo,CA,"18,924",CA Inyo
200,Kern,CA,"912,709",CA Kern
201,Kings,CA,"152,775",CA Kings
202,Lake,CA,"68,645",CA Lake
203,Lassen,CA,"31,885",CA Lassen
204,Los Angeles,CA,"9,809,462",CA Los Angeles
205,Madera,CA,"158,966",CA Madera
206,Marin,CA,"259,278",CA Marin
207,Mariposa,CA,"17,127",CA Mariposa
208,Mendocino,CA,"91,321",CA Mendocino
209,Merced,CA,"284,610",CA Merced
210,Modoc,CA,"8,641",CA Modoc
211,Mono,CA,"13,271",CA Mono
212,Monterey,CA,"437,158",CA Monterey
213,Napa,CA,"136,265",CA Napa
214,Nevada,CA,"103,517",CA Nevada
215,Orange,CA,"3,160,611",CA Orange
216,Placer,CA,"413,047",CA Placer
217,Plumas,CA,"19,958",CA Plumas
218,Riverside,CA,"2,453,399",CA Riverside
219,Sacramento,CA,"1,588,810",CA Sacramento
220,San Benito,CA,"66,709",CA San Benito
221,San Bernardino,CA,"2,193,087",CA San Bernardino
222,San Diego,CA,"3,274,432",CA San Diego
223,San Francisco,CA,"811,935",CA San Francisco
224,San Joaquin,CA,"788,354",CA San Joaquin
225,San Luis Obispo,CA,"279,464",CA San Luis Obispo
226,San Mateo,CA,"739,149",CA San Mateo
227,Santa Barbara,CA,"437,521",CA Santa Barbara
228,Santa Clara,CA,"1,885,173",CA Santa Clara
229,Santa Cruz,CA,"260,475",CA Santa Cruz
230,Shasta,CA,"182,135",CA Shasta
231,Sierra,CA,"3,294",CA Sierra
232,Siskiyou,CA,"44,139",CA Siskiyou
233,Solano,CA,"450,653",CA Solano
234,Sonoma,CA,"484,519",CA Sonoma
235,Stanislaus,CA,"552,723",CA Stanislaus
236,Sutter,CA,"99,152",CA Sutter
237,Tehama,CA,"65,446",CA Tehama
238,Trinity,CA,"16,082",CA Trinity
239,Tulare,CA,"477,176",CA Tulare
240,Tuolumne,CA,"55,131",CA Tuolumne
241,Ventura,CA,"839,471",CA Ventura
242,Yolo,CA,"213,141",CA Yolo
243,Yuba,CA,"83,227",CA Yuba
244,Adams,CO,"523,544",CO Adams
245,Alamosa,CO,"16,579",CO Alamosa
246,Arapahoe,CO,"656,855",CO Arapahoe
247,Archuleta,CO,"13,806",CO Archuleta
248,Baca,CO,"3,490",CO Baca
249,Bent,CO,"5,339",CO Bent
250,Boulder,CO,"327,084",CO Boulder
251,Broomfield,CO,"75,411",CO Broomfield
252,Chaffee,CO,"19,741",CO Chaffee
253,Cheyenne,CO,"1,719",CO Cheyenne
254,Clear Creek,CO,"9,457",CO Clear Creek
255,Conejos,CO,"7,582",CO Conejos
256,Costilla,CO,"3,613",CO Costilla
257,Crowley,CO,"5,735",CO Crowley
258,Custer,CO,"5,063",CO Custer
259,Delta,CO,"31,392",CO Delta
260,Denver,CO,"711,467",CO Denver
261,Dolores,CO,"2,375",CO Dolores
262,Douglas,CO,"369,783",CO Douglas
263,Eagle,CO,"55,774",CO Eagle
264,Elbert,CO,"27,159",CO Elbert
265,El Paso,CO,"737,287",CO El Paso
266,Fremont,CO,"49,237",CO Fremont
267,Garfield,CO,"62,107",CO Garfield
268,Gilpin,CO,"5,893",CO Gilpin
269,Grand,CO,"15,851",CO Grand
270,Gunnison,CO,"17,294",CO Gunnison
271,Hinsdale,CO,773,CO Hinsdale
272,Huerfano,CO,"6,934",CO Huerfano
273,Jackson,CO,"1,359",CO Jackson
274,Jefferson,CO,"580,703",CO Jefferson
275,Kiowa,CO,"1,454",CO Kiowa
276,Kit Carson,CO,"6,927",CO Kit Carson
277,Lake,CO,"7,395",CO Lake
278,La Plata,CO,"56,169",CO La Plata
279,Larimer,CO,"362,747",CO Larimer
280,Las Animas,CO,"14,334",CO Las Animas
281,Lincoln,CO,"5,473",CO Lincoln
282,Logan,CO,"21,006",CO Logan
283,Mesa,CO,"157,439",CO Mesa
284,Mineral,CO,929,CO Mineral
285,Moffat,CO,"13,165",CO Moffat
286,Montezuma,CO,"26,234",CO Montezuma
287,Montrose,CO,"43,236",CO Montrose
288,Morgan,CO,"29,006",CO Morgan
289,Otero,CO,"18,527",CO Otero
290,Ouray,CO,"5,063",CO Ouray
291,Park,CO,"17,744",CO Park
292,Phillips,CO,"4,502",CO Phillips
293,Pitkin,CO,"17,337",CO Pitkin
294,Prowers,CO,"11,990",CO Prowers
295,Pueblo,CO,"169,316",CO Pueblo
296,Rio Blanco,CO,"6,442",CO Rio Blanco
297,Rio Grande,CO,"11,406",CO Rio Grande
298,Routt,CO,"25,058",CO Routt
299,Saguache,CO,"6,511",CO Saguache
300,San Juan,CO,741,CO San Juan
301,San Miguel,CO,"8,080",CO San Miguel
302,Sedgwick,CO,"2,326",CO Sedgwick
303,Summit,CO,"30,998",CO Summit
304,Teller,CO,"24,945",CO Teller
305,Washington,CO,"4,868",CO Washington
306,Weld,CO,"339,897",CO Weld
307,Yuma,CO,"9,925",CO Yuma
308,Fairfield,CT,"326,752",CT Fairfield
309,Middlesex,CT,"175,430",CT Middlesex
310,Windham,CT,"95,605",CT Windham
311,New Haven,CT,"863,700",CT New Haven
312,New London,CT,"278,820",CT New London
313,Kent,DE,"185,043",DE Kent
314,New Castle,DE,"572,029",DE New Castle
315,Sussex,DE,"247,809",DE Sussex
316,District of Columbia,DC,"669,037",DC District of Columbia
317,Alachua,FL,"281,889",FL Alachua
318,Baker,FL,"28,669",FL Baker
319,Bay,FL,"179,520",FL Bay
320,Bradford,FL,"28,050",FL Bradford
321,Brevard,FL,"617,900",FL Brevard
322,Broward,FL,"1,935,575",FL Broward
323,Calhoun,FL,"13,518",FL Calhoun
324,Charlotte,FL,"194,934",FL Charlotte
325,Citrus,FL,"158,167",FL Citrus
326,Clay,FL,"222,648",FL Clay
327,Collier,FL,"387,226",FL Collier
328,Columbia,FL,"69,932",FL Columbia
329,DeSoto,FL,"34,333",FL DeSoto
330,Dixie,FL,"16,933",FL Dixie
331,Duval,FL,"1,002,774",FL Duval
332,Escambia,FL,"323,459",FL Escambia
333,Flagler,FL,"120,974",FL Flagler
334,Franklin,FL,"12,183",FL Franklin
335,Gadsden,FL,"43,599",FL Gadsden
336,Gilchrist,FL,"18,316",FL Gilchrist
337,Glades,FL,"12,266",FL Glades
338,Gulf,FL,"14,462",FL Gulf
339,Hamilton,FL,"13,072",FL Hamilton
340,Hardee,FL,"25,322",FL Hardee
341,Hendry,FL,"40,215",FL Hendry
342,Hernando,FL,"200,693",FL Hernando
343,Highlands,FL,"103,279",FL Highlands
344,Hillsborough,FL,"1,484,607",FL Hillsborough
345,Holmes,FL,"19,309",FL Holmes
346,Indian River,FL,"163,869",FL Indian River
347,Jackson,FL,"47,119",FL Jackson
348,Jefferson,FL,"14,494",FL Jefferson
349,Lafayette,FL,"7,952",FL Lafayette
350,Lake,FL,"396,352",FL Lake
351,Lee,FL,"790,888",FL Lee
352,Leon,FL,"296,007",FL Leon
353,Levy,FL,"44,156",FL Levy
354,Liberty,FL,"7,290",FL Liberty
355,Madison,FL,"18,099",FL Madison
356,Manatee,FL,"413,716",FL Manatee
357,Marion,FL,"385,135",FL Marion
358,Martin,FL,"160,197",FL Martin
359,Miami-Dade,FL,"2,669,748",FL Miami-Dade
360,Monroe,FL,"82,220",FL Monroe
361,Nassau,FL,"94,399",FL Nassau
362,Okaloosa,FL,"213,641",FL Okaloosa
363,Okeechobee,FL,"40,031",FL Okeechobee
364,Orange,FL,"1,427,761",FL Orange
365,Osceola,FL,"403,990",FL Osceola
366,Palm Beach,FL,"1,503,435",FL Palm Beach
367,Pasco,FL,"585,191",FL Pasco
368,Pinellas,FL,"959,583",FL Pinellas
369,Polk,FL,"755,598",FL Polk
370,Putnam,FL,"74,095",FL Putnam
371,St Johns,FL,"293,251",FL St Johns
372,St Lucie,FL,"344,246",FL St Lucie
373,Santa Rosa,FL,"193,750",FL Santa Rosa
374,Sarasota,FL,"448,636",FL Sarasota
375,Seminole,FL,"470,857",FL Seminole
376,Sumter,FL,"134,870",FL Sumter
377,Suwannee,FL,"44,125",FL Suwannee
378,Taylor,FL,"20,807",FL Taylor
379,Union,FL,"15,850",FL Union
380,Volusia,FL,"566,368",FL Volusia
381,Wakulla,FL,"34,270",FL Wakulla
382,Walton,FL,"80,021",FL Walton
383,Washington,FL,"24,867",FL Washington
384,Appling,GA,"18,423",GA Appling
385,Atkinson,GA,"8,348",GA Atkinson
386,Bacon,GA,"11,068",GA Bacon
387,Baker,GA,"2,824",GA Baker
388,Baldwin,GA,"43,695",GA Baldwin
389,Banks,GA,"18,538",GA Banks
390,Barrow,GA,"86,727",GA Barrow
391,Bartow,GA,"110,936",GA Bartow
392,Ben Hill,GA,"17,128",GA Ben Hill
393,Berrien,GA,"18,117",GA Berrien
394,Bibb,GA,"155,980",GA Bibb
395,Bleckley,GA,"12,270",GA Bleckley
396,Brantley,GA,"18,119",GA Brantley
397,Brooks,GA,"16,276",GA Brooks
398,Bryan,GA,"46,974",GA Bryan
399,Bulloch,GA,"80,671",GA Bulloch
400,Burke,GA,"24,362",GA Burke
401,Butts,GA,"26,164",GA Butts
402,Calhoun,GA,"5,541",GA Calhoun
403,Camden,GA,"55,786",GA Camden
404,Candler,GA,"10,947",GA Candler
405,Carroll,GA,"121,595",GA Carroll
406,Catoosa,GA,"68,436",GA Catoosa
407,Charlton,GA,"12,820",GA Charlton
408,Chatham,GA,"295,690",GA Chatham
409,Chattahoochee,GA,"9,044",GA Chattahoochee
410,Chattooga,GA,"24,844",GA Chattooga
411,Cherokee,GA,"274,732",GA Cherokee
412,Clarke,GA,"129,206",GA Clarke
413,Clay,GA,"2,867",GA Clay
414,Clayton,GA,"299,210",GA Clayton
415,Clinch,GA,"6,702",GA Clinch
416,Cobb,GA,"766,662",GA Cobb
417,Coffee,GA,"43,046",GA Coffee
418,Colquitt,GA,"45,763",GA Colquitt
419,Columbia,GA,"159,662",GA Columbia
420,Cook,GA,"17,262",GA Cook
421,Coweta,GA,"149,973",GA Coweta
422,Crawford,GA,"12,139",GA Crawford
423,Crisp,GA,"20,000",GA Crisp
424,Dade,GA,"16,221",GA Dade
425,Dawson,GA,"28,498",GA Dawson
426,Decatur,GA,"29,091",GA Decatur
427,DeKalb,GA,"759,113",GA DeKalb
428,Dodge,GA,"19,734",GA Dodge
429,Dooly,GA,"10,869",GA Dooly
430,Dougherty,GA,"82,235",GA Dougherty
431,Douglas,GA,"145,748",GA Douglas
432,Early,GA,"10,635",GA Early
433,Echols,GA,"3,698",GA Echols
434,Effingham,GA,"66,764",GA Effingham
435,Elbert,GA,"19,571",GA Elbert
436,Emanuel,GA,"22,899",GA Emanuel
437,Evans,GA,"10,697",GA Evans
438,Fannin,GA,"25,797",GA Fannin
439,Fayette,GA,"120,715",GA Fayette
440,Floyd,GA,"98,487",GA Floyd
441,Forsyth,GA,"260,783",GA Forsyth
442,Franklin,GA,"23,510",GA Franklin
443,Fulton,GA,"1,062,451",GA Fulton
444,Gilmer,GA,"32,106",GA Gilmer
445,Glascock,GA,"2,901",GA Glascock
446,Glynn,GA,"84,786",GA Glynn
447,Gordon,GA,"58,239",GA Gordon
448,Grady,GA,"25,850",GA Grady
449,Greene,GA,"19,544",GA Greene
450,Gwinnett,GA,"965,338",GA Gwinnett
451,Habersham,GA,"46,748",GA Habersham
452,Hall,GA,"207,080",GA Hall
453,Hancock,GA,"8,677",GA Hancock
454,Haralson,GA,"30,595",GA Haralson
455,Harris,GA,"35,589",GA Harris
456,Hart,GA,"26,319",GA Hart
457,Heard,GA,"11,532",GA Heard
458,Henry,GA,"245,085",GA Henry
459,Houston,GA,"167,228",GA Houston
460,Irwin,GA,"9,369",GA Irwin
461,Jackson,GA,"80,374",GA Jackson
462,Jasper,GA,"15,263",GA Jasper
463,Jeff Davis,GA,"14,860",GA Jeff Davis
464,Jefferson,GA,"15,476",GA Jefferson
465,Jenkins,GA,"8,764",GA Jenkins
466,Johnson,GA,"8,999",GA Johnson
467,Jones,GA,"28,406",GA Jones
468,Lamar,GA,"18,697",GA Lamar
469,Lanier,GA,"10,051",GA Lanier
470,Laurens,GA,"49,524",GA Laurens
471,Lee,GA,"33,209",GA Lee
472,Liberty,GA,"66,800",GA Liberty
473,Lincoln,GA,"7,749",GA Lincoln
474,Long,GA,"17,108",GA Long
475,Lowndes,GA,"118,916",GA Lowndes
476,Lumpkin,GA,"32,843",GA Lumpkin
477,McDuffie,GA,"21,619",GA McDuffie
478,McIntosh,GA,"11,054",GA McIntosh
479,Macon,GA,"11,852",GA Macon
480,Madison,GA,"30,887",GA Madison
481,Marion,GA,"7,434",GA Marion
482,Meriwether,GA,"20,725",GA Meriwether
483,Miller,GA,"5,853",GA Miller
484,Mitchell,GA,"21,318",GA Mitchell
485,Monroe,GA,"28,753",GA Monroe
486,Montgomery,GA,"8,646",GA Montgomery
487,Morgan,GA,"20,650",GA Morgan
488,Murray,GA,"39,975",GA Murray
489,Muscogee,GA,"205,060",GA Muscogee
490,Newton,GA,"115,341",GA Newton
491,Oconee,GA,"43,034",GA Oconee
492,Oglethorpe,GA,"15,187",GA Oglethorpe
493,Paulding,GA,"173,989",GA Paulding
494,Peach,GA,"28,245",GA Peach
495,Pickens,GA,"34,021",GA Pickens
496,Pierce,GA,"19,975",GA Pierce
497,Pike,GA,"19,540",GA Pike
498,Polk,GA,"43,316",GA Polk
499,Pulaski,GA,"9,570",GA Pulaski
500,Putnam,GA,"22,614",GA Putnam
501,Quitman,GA,"2,242",GA Quitman
502,Rabun,GA,"17,120",GA Rabun
503,Randolph,GA,"6,263",GA Randolph
504,Richmond,GA,"205,274",GA Richmond
505,Rockdale,GA,"93,888",GA Rockdale
506,Schley,GA,"4,486",GA Schley
507,Screven,GA,"14,062",GA Screven
508,Seminole,GA,"9,162",GA Seminole
509,Spalding,GA,"67,765",GA Spalding
510,Stephens,GA,"26,765",GA Stephens
511,Stewart,GA,"4,915",GA Stewart
512,Sumter,GA,"28,981",GA Sumter
513,Talbot,GA,"5,755",GA Talbot
514,Taliaferro,GA,"1,569",GA Taliaferro
515,Tattnall,GA,"24,092",GA Tattnall
516,Taylor,GA,"7,769",GA Taylor
517,Telfair,GA,"12,317",GA Telfair
518,Terrell,GA,"8,924",GA Terrell
519,Thomas,GA,"45,818",GA Thomas
520,Tift,GA,"41,082",GA Tift
521,Toombs,GA,"26,847",GA Toombs
522,Towns,GA,"12,880",GA Towns
523,Treutlen,GA,"6,365",GA Treutlen
524,Troup,GA,"69,518",GA Troup
525,Turner,GA,"8,919",GA Turner
526,Twiggs,GA,"7,881",GA Twiggs
527,Union,GA,"25,552",GA Union
528,Upson,GA,"27,689",GA Upson
529,Walker,GA,"68,417",GA Walker
530,Walton,GA,"99,814",GA Walton
531,Ware,GA,"35,545",GA Ware
532,Warren,GA,"5,208",GA Warren
533,Washington,GA,"19,758",GA Washington
534,Wayne,GA,"30,220",GA Wayne
535,Webster,GA,"2,362",GA Webster
536,Wheeler,GA,"7,737",GA Wheeler
537,White,GA,"28,389",GA White
538,Whitfield,GA,"102,712",GA Whitfield
539,Wilcox,GA,"8,737",GA Wilcox
540,Wilkes,GA,"9,489",GA Wilkes
541,Wilkinson,GA,"8,786",GA Wilkinson
542,Worth,GA,"20,565",GA Worth
543,Hawaii,HI,"203,875",HI Hawaii
544,Honolulu,HI,"1,004,163",HI Honolulu
545,Kalawao,HI,81,HI Kalawao
546,Kauai,HI,"73,829",HI Kauai
547,Maui,HI,"164,797",HI Maui
548,Ada,ID,"513,025",ID Ada
549,Adams,ID,"4,623",ID Adams
550,Bannock,ID,"88,515",ID Bannock
551,Bear Lake,ID,"6,567",ID Bear Lake
552,Benewah,ID,"9,895",ID Benewah
553,Bingham,ID,"48,929",ID Bingham
554,Blaine,ID,"24,782",ID Blaine
555,Boise,ID,"8,133",ID Boise
556,Bonner,ID,"49,633",ID Bonner
557,Bonneville,ID,"128,064",ID Bonneville
558,Boundary,ID,"12,620",ID Boundary
559,Butte,ID,"2,666",ID Butte
560,Camas,ID,"1,137",ID Camas
561,Canyon,ID,"243,710",ID Canyon
562,Caribou,ID,"7,109",ID Caribou
563,Cassia,ID,"25,244",ID Cassia
564,Clark,ID,793,ID Clark
565,Clearwater,ID,"8,925",ID Clearwater
566,Custer,ID,"4,446",ID Custer
567,Elmore,ID,"28,978",ID Elmore
568,Franklin,ID,"14,670",ID Franklin
569,Fremont,ID,"13,591",ID Fremont
570,Gem,ID,"19,802",ID Gem
571,Gooding,ID,"15,793",ID Gooding
572,Idaho,ID,"17,059",ID Idaho
573,Jefferson,ID,"32,201",ID Jefferson
574,Jerome,ID,"24,738",ID Jerome
575,Kootenai,ID,"180,058",ID Kootenai
576,Latah,ID,"40,400",ID Latah
577,Lemhi,ID,"8,160",ID Lemhi
578,Lewis,ID,"3,690",ID Lewis
579,Lincoln,ID,"5,285",ID Lincoln
580,Madison,ID,"54,092",ID Madison
581,Minidoka,ID,"21,944",ID Minidoka
582,Nez Perce,ID,"42,500",ID Nez Perce
583,Oneida,ID,"4,605",ID Oneida
584,Owyhee,ID,"12,356",ID Owyhee
585,Payette,ID,"26,386",ID Payette
586,Power,ID,"7,975",ID Power
587,Shoshone,ID,"13,615",ID Shoshone
588,Teton,ID,"12,273",ID Teton
589,Twin Falls,ID,"92,394",ID Twin Falls
590,Valley,ID,"12,256",ID Valley
591,Washington,ID,"10,900",ID Washington
592,Adams,IL,"65,064",IL Adams
593,Alexander,IL,"5,025",IL Alexander
594,Bond,IL,"16,623",IL Bond
595,Boone,IL,"53,173",IL Boone
596,Brown,IL,"6,432",IL Brown
597,Bureau,IL,"32,959",IL Bureau
598,Calhoun,IL,"4,395",IL Calhoun
599,Carroll,IL,"15,702",IL Carroll
600,Cass,IL,"12,790",IL Cass
601,Champaign,IL,"206,605",IL Champaign
602,Christian,IL,"33,703",IL Christian
603,Clark,IL,"15,352",IL Clark
604,Clay,IL,"13,163",IL Clay
605,Clinton,IL,"36,882",IL Clinton
606,Coles,IL,"46,802",IL Coles
607,Cook,IL,"5,180,919",IL Cook
608,Crawford,IL,"18,684",IL Crawford
609,Cumberland,IL,"10,352",IL Cumberland
610,DeKalb,IL,"100,482",IL DeKalb
611,De Witt,IL,"15,403",IL De Witt
612,Douglas,IL,"19,694",IL Douglas
613,DuPage,IL,"926,848",IL DuPage
614,Edgar,IL,"16,576",IL Edgar
615,Edwards,IL,"6,084",IL Edwards
616,Effingham,IL,"34,508",IL Effingham
617,Fayette,IL,"21,438",IL Fayette
618,Ford,IL,"13,479",IL Ford
619,Franklin,IL,"37,459",IL Franklin
620,Fulton,IL,"33,275",IL Fulton
621,Gallatin,IL,"4,895",IL Gallatin
