Unnamed: 0,GeoName,GeoFIPS,Quantity index,Thousands of chained 2012 dollars,Thousands of dollars,County,State,State and County
1044,"Gilpin, CO"," ""08047""",99.982,577961,726224,Gilpin,CO,CO Gilpin
1076,"Grand, CO"," ""08049""",115.894,896020,1137289,Grand,CO,CO Grand
1145,"Gunnison, CO"," ""08051""",92.248,1021503,1217610,Gunnison,CO,CO Gunnison
1273,"Hinsdale, CO"," ""08053""",105.235,32817,41554,Hinsdale,CO,CO Hinsdale
1311,"Huerfano, CO"," ""08055""",151.532,282328,308227,Huerfano,CO,CO Huerfano
1362,"Jackson, CO"," ""08057""",174.306,107640,116142,Jackson,CO,CO Jackson
1510,"Kiowa, CO"," ""08061""",149.867,109473,134816,Kiowa,CO,CO Kiowa
1513,"Kit Carson, CO"," ""08063""",129.405,461910,553839,Kit Carson,CO,CO Kit Carson
1538,"La Plata, CO"," ""08067""",103.253,3277902,3579155,La Plata,CO,CO La Plata
1559,"Lake, CO"," ""08065""",118.753,305099,357844,Lake,CO,CO Lake
1588,"Larimer, CO"," ""08069""",151.736,20344512,24381467,Larimer,CO,CO Larimer
1590,"Las Animas, CO"," ""08071""",104.103,653543,631969,Las Animas,CO,CO Las Animas
1658,"Lincoln, CO"," ""08073""",138.763,368216,440138,Lincoln,CO,CO Lincoln
1697,"Logan, CO"," ""08075""",94.2,993254,1165381,Logan,CO,CO Logan
1898,"Mesa, CO"," ""08077""",108.201,6142260,7444077,Mesa,CO,CO Mesa
1922,"Mineral, CO"," ""08079""",123.284,52011,66337,Mineral,CO,CO Mineral
1940,"Moffat, CO"," ""08081""",86.654,992227,1208562,Moffat,CO,CO Moffat
1967,"Montezuma, CO"," ""08083""",112.844,1758343,1559900,Montezuma,CO,CO Montezuma
1988,"Montrose, CO"," ""08085""",116.943,1547808,1908528,Montrose,CO,CO Montrose
1996,"Morgan, CO"," ""08087""",110.274,1479579,1743232,Morgan,CO,CO Morgan
2153,"Otero, CO"," ""08089""",115.842,582144,700722,Otero,CO,CO Otero
2165,"Ouray, CO"," ""08091""",161.342,287242,337576,Ouray,CO,CO Ouray
2184,"Park, CO"," ""08093""",124.079,440027,546817,Park,CO,CO Park
2237,"Phillips, CO"," ""08095""",90.533,191542,226807,Phillips,CO,CO Phillips
2267,"Pitkin, CO"," ""08097""",124.254,2088162,2639457,Pitkin,CO,CO Pitkin
2336,"Prowers, CO"," ""08099""",101.059,519846,596025,Prowers,CO,CO Prowers
2337,"Pueblo, CO"," ""08101""",111.417,6008543,7436671,Pueblo,CO,CO Pueblo
2417,"Rio Blanco, CO"," ""08103""",92.779,748521,679943,Rio Blanco,CO,CO Rio Blanco
2418,"Rio Grande, CO"," ""08105""",129.396,427656,525325,Rio Grande,CO,CO Rio Grande
2455,"Routt, CO"," ""08107""",93.525,1858714,2293491,Routt,CO,CO Routt
2476,"Saguache, CO"," ""08109""",143.324,203696,241611,Saguache,CO,CO Saguache
2493,"San Juan, CO"," ""08111""",110.683,35570,42742,San Juan,CO,CO San Juan
2499,"San Miguel, CO"," ""08113""",131.277,625711,779643,San Miguel,CO,CO San Miguel
2551,"Sedgwick, CO"," ""08115""",69.359,84017,93821,Sedgwick,CO,CO Sedgwick
2712,"Summit, CO"," ""08117""",126.842,2463720,3083152,Summit,CO,CO Summit
2761,"Teller, CO"," ""08119""",114.288,918704,1097579,Teller,CO,CO Teller
2939,"Washington, CO"," ""08121""",87.377,194032,204551,Washington,CO,CO Washington
3123,"Yuma, CO"," ""08125""",67.793,509579,525068,Yuma,CO,CO Yuma
8,"Adams, CO*"," ""08001""",146.579,27509311,33769461,Adams,CO,CO Adams
242,"Boulder, CO*"," ""08013""",139.504,29154660,33182418,Boulder,CO,CO Boulder
279,"Broomfield, CO*"," ""08014""",103.82,7526018,8786441,Broomfield,CO,CO Broomfield
1400,"Jefferson, CO*"," ""08059""",128.158,31080243,37372859,Jefferson,CO,CO Jefferson
3002,"Weld, CO*"," ""08123""",172.81,21188168,22082249,Weld,CO,CO Weld
902,"Fairfield, CT"," ""09001""",95.886,79181882,98751750,Fairfield,CT,CT Fairfield
1904,"Middlesex, CT"," ""09007""",99.857,8746136,10650029,Middlesex,CT,CT Middlesex
2054,"New Haven, CT"," ""09009""",108.552,47714962,57541201,New Haven,CT,CT New Haven
2056,"New London, CT"," ""09011""",104.322,17008630,20743047,New London,CT,CT New London
3056,"Windham, CT"," ""09015""",103.642,4471224,5494372,Windham,CT,CT Windham
792,"Dinwiddie, Colonial Heights + Petersburg, VA*"," ""51918""",105.024,2623981,3263835,Dinwiddie,VA,VA Dinwiddie
794,"District of Columbia, DC"," ""11001""",113.219,126982975,153670489,District of Columbia,DC,DC District of Columbia
1482,"Kent, DE"," ""10001""",124.36,8129576,9984324,Kent,DE,DE Kent
