GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "01043","Cullman, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.589,75.809,79.427,86.709,90.931,89.050,84.523,83.224,82.353,84.945,85.358,87.378,94.351,94.429,100.226,98.784,100.000,100.659,103.341,99.292,106.827,110.088
 "01043","Cullman, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1636994,1635630,1749529,1975139,2082232,2081467,2043494,2048602,2077229,2152753,2192502,2298088,2530687,2569023,2772367,2753733,2827288,2896605,3037792,2987793,3375707,3826972
 "01045","Dale, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2148161,2211743,2281350,2441189,2703831,2813224,2837398,2962685,3022223,3168619,3040958,2997671,3033182,2856651,2903702,2841815,2834970,2790050,2806488,2784502,2891514,2884753
 "01045","Dale, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.774,78.016,80.472,86.110,95.374,99.233,100.086,104.505,106.605,111.769,107.266,105.739,106.992,100.765,102.424,100.241,100.000,98.416,98.995,98.220,101.995,101.756
 "01045","Dale, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1483285,1574820,1684966,1854385,2115109,2279562,2369543,2525611,2646746,2812898,2751422,2755855,2837312,2731175,2832710,2799228,2834970,2847797,2929164,2963202,3181381,3370503
 "01047","Dallas, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1366766,1321050,1312469,1400056,1465658,1492076,1422596,1353229,1301778,1293420,1291355,1315348,1327933,1317562,1199915,1231542,1246698,1252898,1263447,1250079,1259154,1196269
 "01047","Dallas, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",109.631,105.964,105.276,112.301,117.563,119.682,114.109,108.545,104.418,103.748,103.582,105.507,106.516,105.684,96.247,98.784,100.000,100.497,101.343,100.271,100.999,95.955
 "01047","Dallas, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",988774,969155,975178,1067093,1139275,1194942,1178791,1142084,1134143,1140549,1160596,1202817,1244048,1253912,1167071,1207339,1246698,1274867,1304892,1309472,1392497,1438621
 "01049","DeKalb, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1746255,1752914,1795262,1951245,1915776,1968955,1920331,1876272,1766602,1817255,1649146,1671490,1894066,1887175,1954786,1882257,1977689,2065444,2012749,1877040,2120202,2181316
 "01049","DeKalb, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.298,88.634,90.776,98.663,96.869,99.558,97.100,94.872,89.327,91.888,83.388,84.517,95.772,95.423,98.842,95.175,100.000,104.437,101.773,94.911,107.206,110.296
 "01049","DeKalb, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1392282,1409358,1455298,1613457,1585367,1652239,1652788,1637324,1585117,1639644,1516223,1576997,1823980,1839816,1926540,1860899,1977689,2087188,2079471,1987853,2315509,2607141
 "01051","Elmore, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1199207,1289221,1396324,1547142,1628123,1632406,1702708,1734403,1775155,1847058,1786582,1861561,1881107,1851864,1872305,1930154,1950579,1990146,2016328,1961812,2038808,2064691
 "01051","Elmore, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",61.480,66.094,71.585,79.317,83.469,83.688,87.292,88.917,91.007,94.693,91.592,95.436,96.438,94.939,95.987,98.953,100.000,102.028,103.371,100.576,104.523,105.850
 "01051","Elmore, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",902472,987142,1081336,1219553,1313358,1357909,1450015,1493651,1570276,1635948,1600847,1696013,1741621,1752823,1813187,1897290,1950579,2033909,2106972,2102362,2288790,2469257
 "01053","Escambia, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1186239,1190120,1165339,1254569,1330644,1356735,1406062,1298670,1268412,1234150,1201425,1238727,1262225,1221216,1234272,1273431,1269744,1250185,1249769,1194921,1199168,1187779
 "01053","Escambia, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.423,93.729,91.777,98.805,104.796,106.851,110.736,102.278,99.895,97.197,94.619,97.557,99.408,96.178,97.206,100.290,100.000,98.460,98.427,94.107,94.442,93.545
 "01053","Escambia, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",867030,861611,896361,1014826,1147821,1203449,1287764,1300672,1120017,1157654,1170270,1196512,1249727,1230996,1186996,1222165,1269744,1300103,1299082,1248087,1367612,1479761
